station_id,station_designator,station_number,department_id,lat,lon,station_name,address,city,state,zip,phone,is_volunteer
1,101,1,1,38.866756,-77.096002,Glebe Road,500 S Glebe Rd,Arlington,VA,22204,703-228-0101,FALSE
2,102,2,1,38.878953,-77.119941,Ballston,4805 Wilson Blvd,Arlington,VA,22203,703-228-0102,FALSE
3,103,3,1,38.898090,-77.10997521,Cherrydale,4100 Old Dominion Dr,Arlington,VA,22207,703-228-0103,TRUE
4,104,4,1,38.884349,-77.09552352,Clarendon,3121 10th St N,Arlington,VA,22201,703-228-0104,FALSE
5,105,5,1,38.857503,-77.05848518,Jefferson District,1750 S Hayes St,Arlington,VA,22202,703-228-0105,FALSE
6,106,6,1,38.8873676,-77.16386915,Falls Church,6950 Little Falls Rd,Arlington,VA,22213,703-228-0106,TRUE
7,107,7,1,38.83674434,-77.0954582,Fairlington,3116 S Abingdon St,Arlington,VA,22206,703-228-0107,FALSE
8,108,8,1,38.89687654,-77.12717879,Lee Highway,4845 Lee Hwy,Arlington,VA,22207,703-228-0108,FALSE
9,109,9,1,38.85194023,-77.09177238,Walter Reed,1900 S Walter Reed Dr,Arlington,VA,22204,703-228-0109,FALSE
10,110,10,1,38.89486273,-77.07637799,Rosslyn,1559 Wilson Blvd,Arlington,VA,22209,703-228-0110,FALSE
11,161,1,6,38.874088,-77.081676,Fort Myer,166 Sheridan Avenue,Fort Myer,VA,22211,703-696-3483,FALSE
12,201,1,3,38.80359482,-77.04333091,Old Town,317 Prince Street,Alexandria,VA,22314,703-746-5201,FALSE
13,202,2,3,38.82465806,-77.05745492,Del Ray,213 East Windsor Avenue,Alexandria,VA,22301,703-746-5202,FALSE
14,203,3,3,38.82995122,-77.07380572,Beverly Hills,2801 Cameron Mills Road,Alexandria,VA,22302,703-746-5203,FALSE
15,204,4,3,38.81628969,-77.0465683,Powhatan Park,900 Second Street,Alexandria,VA,22314,703-746-5204,FALSE
16,205,5,3,38.80675727,-77.05278801,Rosemont,1210 Cameron Street,Alexandria,VA,22314,703-746-5205,FALSE
17,206,6,3,38.8264293,-77.10877461,Seminary Valley,4609 Seminary Road,Alexandria,VA,22304,703-746-5206,FALSE
18,207,7,3,38.8084852,-77.08705182,Cameron Valley,3301 Duke Street,Alexandria,VA,22314,703-746-5207,FALSE
19,208,8,3,38.81394171,-77.12337604,Landmark,175 North Paxton Street,Alexandria,VA,22304,703-746-5208,FALSE
20,209,9,3,38.83122243,-77.04994634,Potomac Yards,2800 Main Line Blvd,Alexandria,VA,22305,703-746-5209,FALSE
21,210,10,3,38.801665,-77.126592,Eisenhower Valley,5255 Eisenhower Ave,Alexandria,VA,22304,703-746-5210,FALSE
22,301,1,7,38.844756,-77.044051,Reagan National,1003 South Access Road,Arlington,VA,22202,703-417-8250,FALSE
23,302,2,7,38.92943,-77.45552,Dulles Intl. South Side,44715 Vortac Road,Chantilly,VA,20151,703-417-8204,FALSE
24,303,3,7,38.96451,-77.44854,Dulles Intl. North Side,44900 Rudder Road,Sterling,VA,20166,877-762-7824,FALSE
25,304,4,7,38.97509,-77.47129,Dulles Intl. ARFF,44210 Weather Service Road,Sterling,VA,20166,703-572-2302,FALSE
26,401,1,4,38.93170767,-77.17720881,McLean,1455 Laughlin Avenue,McLean,VA,22101,703-356-6671,TRUE
27,402,2,4,38.89910054,-77.26110868,Vienna,400 Center Street SW,Vienna,VA,22180,703-938-2242,TRUE
28,403,3,2,38.84367005,-77.30565113,South Fairfax City,4081 University Dr,Fairfax,VA,22030,703-385-7940,TRUE
29,404,4,4,38.96895526,-77.38597307,Herndon,680 Spring Street,Herndon,VA,20170,703-437-1233,FALSE
30,405,5,4,38.78055516,-77.14624037,Franconia,6300 Beulah Street,Alexandria,VA,22310,703-971-5858,TRUE
31,408,8,4,38.83266389,-77.19172645,Annandale,7128 Columbia Pike,Annandale,VA,22003,703-256-2552,TRUE
32,409,9,4,38.74289007,-77.07763152,Mount Vernon,2601 Sherwood Hall Lane,Alexandria,VA,22306,703-780-0150,FALSE
33,410,10,4,38.84561648,-77.13904707,Bailey's Crossroads,3601 Firehouse Lane,Falls Church,VA,22041,703-820-2345,TRUE
34,411,11,4,38.7730972,-77.07916152,Penn Daw,6624 Hulvey Terrace,Alexandria,VA,22306,703-765-4404,FALSE
35,412,12,4,38.998882,-77.291149,Great Falls,9916 Georgetown Pike,Great Falls,VA,22066,703-759-2300,TRUE
36,413,13,4,38.90239484,-77.22435572,Dunn Loring,2148 Gallows Road,Dunn Loring,VA,22027,703-560-1539,TRUE
37,414,14,4,38.79286154,-77.27145137,Burke,9501 Old Burke Lake Road,Burke,VA,22015,703-978-9200,TRUE
38,415,15,4,38.89173491,-77.43131008,Chantilly,14005 Vernon Street,Chantilly,VA,20151,703-378-5353,FALSE
39,416,16,4,38.7808124,-77.3847317,Clifton,12645 Chapel Road,Clifton,VA,20124,703-830-1901,FALSE
40,417,17,4,38.83682109,-77.42926373,Centreville,5856 Old Centreville Road,Centreville,VA,20121,703-830-8280,TRUE
41,418,18,4,38.86544835,-77.19277335,Jefferson,3101 Hodge Place,Falls Church,VA,22042,703-573-4505,FALSE
42,419,19,4,38.70381902,-77.2104221,Lorton,7701 Armistead Road,Lorton,VA,22079,703-339-5141,TRUE
43,420,20,4,38.67371646,-77.19412373,Gunston,10417 Gunston Road,Lorton,VA,22079,703-339-5970,FALSE
44,421,21,4,38.8713987, -77.3705515,Fair Oaks,12300 Lee Jackson Memorial Highway,Fairfax,VA,22033,703-591-0247,TRUE
45,422,22,4,38.7658942,-77.1838527,Springfield,7011 Backlick Road,Springfield,VA,22150,703-451-0120,TRUE
46,423,23,4,38.83971352,-77.2521758,West Annandale,8914 Little River Turnpike,Fairfax,VA,22031,703-978-3340,TRUE
47,424,24,4,38.72178018,-77.11916034,Woodlawn,8701 Lukens Lane,Alexandria,VA,22309,703-780-0110,FALSE
48,425,25,4,38.9509313,-77.3360313,Reston,1820 Wiehle Avenue,Reston,VA,20190,703-437-7575,FALSE
49,426,26,4,38.80516419,-77.17125811,Edsall Road,5316 Carolina Place,Springfield,VA,22151,703-256-2236,FALSE
50,427,27,4,38.78357161,-77.23778946,West Springfield,6140 Rolling Road,Springfield,VA,22152,703-451-0453,FALSE
51,428,28,4,38.87048255,-77.15684226,Seven Corners,2949 Sleepy Hollow Road,Falls Church,VA,22044,703-532-1451,FALSE
52,429,29,4,38.92935184,-77.23940384,Tysons Corner,1560 Spring Hill Road,McLean,VA,22102,703-893-0140,FALSE
53,430,30,4,38.87238188,-77.24793904,Merrifield,8739 Lee Highway,Fairfax,VA,22031,703-573-5321,FALSE
54,431,31,4,38.9261451,-77.37355554,Fox Mill,2610 Reston Parkway,Herndon,VA,20171,703-860-2680,FALSE
55,432,32,4,38.7195245,-77.2787095,Fairview,5600 Burke Centre Parkway,Fairfax Station,VA,22039,703-250-8900,FALSE
56,433,33,2,38.86164027,-77.29361555,North Fairfax City,10101 Fairfax Blvd,Fairfax,VA,22030,703-385-7941,TRUE
57,434,34,4,38.87618233,-77.30959336,Oakton,10511 Rosehaven Street,Fairfax,VA,22030,703-591-0273,FALSE
58,435,35,4,38.74633096,-77.25243474,Pohick,7801 Maritime Lane,Springfield,VA,22153,703-451-5500,FALSE
59,436,36,4,38.93625563,-77.41403892,Frying Pan,2660 West Ox Road,Herndon,VA,20171,703-793-0043,FALSE
60,437,37,4,38.74252,-77.15919,Kingstowne,7936 Telegraph Road,Alexandria,VA,22315,703-719-9294,FALSE
61,438,38,4,38.8437895,-77.45356896,West Centreville,6001 ODay Drive,Centreville,VA,20120,703-802-2806,FALSE
62,439,39,4,38.99788765,-77.34241291,North Point,1117 Reston Avenue,Herndon,VA,20170,703-433-1418,FALSE
63,440,40,4,38.84817,-77.364902,Fairfax Center,4621 Legato Road,Fairfax,VA,22030,703-322-4500,FALSE
64,441,41,4,38.7195245,-77.2787095,Crosspointe,9610 Hampton Road,Fairfax Station,VA,22039,703-493-8990,FALSE
65,442,42,4,38.95712748,-77.2750435,Wolftrap,1315 Beulah Rd,Vienna,VA,22182,703-757-7910,FALSE
66,463,1,5,38.715868,-77.151419,Fort Belvoir North Post,6100 Abbott Road,Fort Belvoir,VA,22060,703-806-6912,FALSE
67,464,2,5,38.758498,-77.189869,Fort Belvoir North,7130 Barta Road,Springfield,VA,22153,703-806-1911,FALSE
68,465,3,5,38.692239,-77.142166,Fort Belvoir South Post,9701 Gunston Road,Fort Belvoir,VA,22060,703-805-4911,FALSE
69,466,4,5,38.7151123,-77.176305,Davison Airfield,8915 Gavin Road,Fort Belvoir,VA,22060,703-806-7095,FALSE
